Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Health promotion specialist,IT,Decreasing,Low,114140.28,Bachelor’s Degree,13,4935,5109,83.56,38.24,USA,47.42
Senior tax professional/tax inspector,Education,Decreasing,Moderate,77251.66,High School,1,3200,8580,11.43,8.52,USA,52.91
Mental health nurse,Manufacturing,Increasing,Low,44281.76,PhD,14,2245,4672,40.49,10.66,USA,32.81
"Engineer, chemical",Transportation,Increasing,High,90255.48,High School,0,9469,2084,10.06,87.78,USA,27.73
Analytical chemist,Transportation,Increasing,Low,101130.12,Master’s Degree,4,804,7481,59.76,1.36,USA,75.02
Advertising copywriter,Retail,Increasing,High,50731.17,High School,20,7368,7761,86.42,25,USA,42.38
Dramatherapist,Finance,Decreasing,High,121555.61,High School,9,4461,4840,70.33,37.58,USA,22.66
"Scientist, forensic",Entertainment,Decreasing,Low,121302.77,Associate Degree,4,5712,3235,77.55,22.83,USA,79.53
Primary school teacher,Healthcare,Increasing,Low,121652.5,Associate Degree,9,6424,6891,90.7,34.76,USA,69.93
"Buyer, industrial",Retail,Decreasing,Low,33889.47,Master’s Degree,10,3180,5321,60.08,65.68,USA,64.62
Marine scientist,Entertainment,Decreasing,High,142509.03,Associate Degree,5,5696,7567,67.49,54.75,USA,49.89
Retail merchandiser,Healthcare,Increasing,Low,116452.56,Associate Degree,3,7275,8148,88.72,78.32,USA,56.9
"Education officer, community",Entertainment,Increasing,High,145204.89,PhD,1,2983,7963,75.47,97.92,USA,71.35
"Scientist, marine",Entertainment,Decreasing,Low,63181,High School,19,130,9130,27.34,57.81,USA,36.69
Leisure centre manager,Manufacturing,Decreasing,High,109878.96,Associate Degree,4,2727,3945,18.64,79.49,USA,75.44
"Education officer, community",Healthcare,Decreasing,Moderate,77921.54,Associate Degree,14,3316,2047,28.69,70.69,USA,25.36
Educational psychologist,IT,Increasing,High,92661.11,Associate Degree,15,3349,302,5.57,58.26,USA,37.42
"Horticulturist, amenity",Transportation,Increasing,High,108311.1,PhD,15,8231,4742,83.32,3.11,USA,56.6
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,Moderate,43132.16,Master’s Degree,16,8789,153,78.35,61.37,USA,51.28
Insurance underwriter,IT,Decreasing,Moderate,84469.79,Bachelor’s Degree,17,1444,8593,45.97,68.6,USA,38.3
Outdoor activities/education manager,Entertainment,Increasing,Moderate,38351.2,Associate Degree,2,8898,8992,21.05,84.46,USA,67.35
Ambulance person,Transportation,Increasing,Low,91652.59,PhD,1,9083,3489,99.13,38.96,USA,73.84
Pathologist,Retail,Increasing,High,92755.35,Associate Degree,13,2497,2291,94.03,8.91,USA,40.51
Veterinary surgeon,Manufacturing,Decreasing,Moderate,108102.61,Bachelor’s Degree,10,389,6876,59.95,93.74,USA,62.63
Recruitment consultant,Healthcare,Decreasing,Moderate,62337.63,Master’s Degree,7,7807,4658,60.27,49.02,USA,26.08
Forensic psychologist,Retail,Increasing,Low,92118.79,High School,8,8403,3759,86.91,3.25,USA,61.06
Agricultural engineer,Healthcare,Decreasing,Low,136705.27,Bachelor’s Degree,6,830,9027,36.96,74.3,USA,52.9
"Programmer, multimedia",Entertainment,Decreasing,Low,83177.52,High School,4,3441,1349,80.86,8.96,USA,77.25
Copy,Healthcare,Decreasing,Moderate,47502.48,High School,13,7179,3924,3.01,50.33,USA,77.41
"Investment banker, operational",Education,Increasing,High,67584.59,Bachelor’s Degree,9,4637,6755,3.58,33.26,USA,45.78
Press photographer,IT,Increasing,High,93239.28,High School,10,7647,8915,2.95,88.3,USA,41.28
"Producer, television/film/video",Entertainment,Increasing,Low,107135.65,Master’s Degree,7,8965,1779,55.96,80.23,USA,46.89
Camera operator,Education,Increasing,Moderate,121044.16,Master’s Degree,2,3110,5130,43.29,16.27,USA,27.31
Civil Service administrator,Retail,Increasing,High,88864.94,Master’s Degree,12,6835,9644,14.94,54.08,USA,22.42
"Engineer, site",Manufacturing,Increasing,Low,71319.13,PhD,6,8163,5263,15.69,65.52,USA,41.25
"Surveyor, rural practice",Finance,Increasing,Moderate,136116.8,PhD,5,8418,8973,64.77,42.54,USA,74.65
Research scientist (maths),Retail,Decreasing,Moderate,107831.45,Associate Degree,7,2254,4993,3.6,24.29,USA,67.04
Chief Marketing Officer,Transportation,Increasing,High,142327.01,Master’s Degree,12,7956,4261,3.08,43.9,USA,45.97
Environmental consultant,IT,Increasing,High,119246.27,Bachelor’s Degree,20,507,6283,15.51,94.06,USA,50.89
"Designer, exhibition/display",Education,Decreasing,Moderate,68406.32,PhD,18,7710,939,51.96,49.06,USA,36.59
"Engineer, building services",Manufacturing,Decreasing,Moderate,64697.02,Bachelor’s Degree,0,1849,8384,39.09,4.72,USA,30.63
"Teacher, primary school",Retail,Increasing,High,86775.92,PhD,20,609,3830,79.83,84.09,USA,50.36
"Investment banker, operational",Finance,Decreasing,Moderate,131058.43,Associate Degree,14,6825,8349,73.3,85.94,USA,48.49
Film/video editor,Education,Decreasing,Low,96134,PhD,10,9168,9774,78.01,2.78,USA,28.61
Advice worker,Finance,Increasing,High,138621.04,High School,9,1880,6911,11.1,42.2,USA,73.91
Insurance broker,Finance,Decreasing,Low,96852.04,High School,9,7881,6129,12.2,42.73,USA,72.1
"Buyer, retail",Entertainment,Decreasing,High,122388.49,High School,0,9919,479,49.57,69.64,USA,74.8
Research scientist (physical sciences),Manufacturing,Decreasing,High,101360.85,High School,2,4844,2211,96.93,52.63,USA,32.81
Magazine features editor,Retail,Decreasing,Low,53030.79,PhD,10,5820,7499,12.01,81.41,USA,43
Geoscientist,Education,Decreasing,Low,64258.56,Master’s Degree,10,5067,4160,18.37,3.93,USA,42.94
Bookseller,Education,Increasing,Low,106127.82,Bachelor’s Degree,0,1789,3390,46.7,22.63,USA,21.69
Therapeutic radiographer,Retail,Decreasing,Low,79045.54,High School,9,1239,6375,55.69,93.28,USA,74.18
Dietitian,Entertainment,Decreasing,Low,119678.27,Associate Degree,2,6149,3761,21.74,19.03,USA,77.19
Scientific laboratory technician,Transportation,Increasing,Moderate,124157.52,Associate Degree,0,3581,8855,46.72,46.44,USA,25.78
Tax adviser,Entertainment,Increasing,Low,59340.26,Associate Degree,19,6925,4050,39.52,23.78,USA,25.19
Orthoptist,Finance,Decreasing,Moderate,63500.19,PhD,4,3227,9240,47.23,97.24,USA,39.15
Facilities manager,Finance,Decreasing,Low,92357.13,Bachelor’s Degree,15,4302,547,38.87,90.19,USA,70.88
Sport and exercise psychologist,Education,Increasing,High,109920.16,High School,1,8165,874,21.96,45.14,USA,46.54
Audiological scientist,Entertainment,Increasing,High,102474.39,Associate Degree,2,4228,7631,58.85,4.96,USA,53.06
Lawyer,Manufacturing,Decreasing,High,107969.24,PhD,12,4815,8164,44.7,19.74,USA,74.7
Graphic designer,Entertainment,Decreasing,High,41817.15,High School,2,1266,2580,73.68,55.09,USA,24.25
Dramatherapist,Entertainment,Decreasing,Moderate,79043.35,Master’s Degree,0,4062,1376,15.4,3.54,USA,31.33
Metallurgist,Education,Increasing,High,137455.78,Bachelor’s Degree,1,5803,3384,26.67,65.54,USA,77.95
Further education lecturer,IT,Increasing,Moderate,45337.48,Master’s Degree,7,6576,8532,17.04,15.02,USA,69.57
"Administrator, arts",Retail,Decreasing,Moderate,81906.32,PhD,6,2374,7995,24.21,8.45,USA,32.06
Pension scheme manager,Retail,Decreasing,Moderate,84011.88,Bachelor’s Degree,0,9445,3090,66.31,88.01,USA,40.44
Forensic psychologist,Manufacturing,Decreasing,Moderate,78859.16,PhD,15,4714,4056,96.2,7.94,USA,61.72
Administrator,Manufacturing,Increasing,High,119425.97,Bachelor’s Degree,16,6755,8594,90.93,98.98,USA,56.15
Clinical research associate,Manufacturing,Increasing,High,140162.76,Master’s Degree,16,3864,9137,28.38,47.33,USA,34.06
Trade mark attorney,Healthcare,Decreasing,High,77581.8,Associate Degree,14,6693,8189,57.85,13.51,USA,29.4
"Psychologist, occupational",IT,Increasing,Low,94058.68,PhD,19,1773,5066,84.25,0.96,USA,25.89
Chief Executive Officer,Healthcare,Decreasing,Low,30399.49,Associate Degree,7,4752,6239,62.49,14.67,USA,33.57
Data scientist,Manufacturing,Decreasing,High,117976.89,High School,3,2140,6663,70.63,4,USA,70.98
Electrical engineer,IT,Decreasing,Moderate,49735.47,Associate Degree,4,9645,379,40.79,76.62,USA,51.4
"Engineer, biomedical",Retail,Increasing,Moderate,73171.38,Bachelor’s Degree,11,8164,2234,3.2,55.72,USA,76.29
Race relations officer,Finance,Decreasing,Low,63406.31,High School,15,5032,3453,53.09,64.23,USA,39.51
"Scientist, research (physical sciences)",Finance,Decreasing,Low,37028.29,Master’s Degree,4,8854,962,77.1,23.57,USA,59.13
Lexicographer,Manufacturing,Increasing,High,108207.34,High School,7,2657,3022,20.51,13.97,USA,58.87
Medical technical officer,IT,Increasing,High,61665.42,Bachelor’s Degree,16,2879,570,3.61,59.3,USA,78.08
Geophysicist/field seismologist,Entertainment,Decreasing,Low,119335.47,Bachelor’s Degree,1,4856,2502,85.77,48.55,USA,52.97
"Teacher, secondary school",Healthcare,Increasing,Low,110757.7,High School,7,9502,1896,13.14,94.6,USA,54.84
Equities trader,Healthcare,Increasing,High,94199.08,Master’s Degree,11,2264,957,25.46,77.99,USA,58.26
Sub,Manufacturing,Increasing,Low,34700.16,Master’s Degree,20,4456,2901,78.35,18.13,USA,70.43
Air traffic controller,Finance,Decreasing,High,67500.76,Master’s Degree,0,2210,7004,62.12,25.07,USA,36.86
"Designer, textile",Transportation,Decreasing,Moderate,47978.37,PhD,16,3634,9904,59.22,83.54,USA,56.03
Fitness centre manager,Finance,Decreasing,Low,140104.87,PhD,16,451,237,17.01,13.18,USA,35.26
Cabin crew,Finance,Increasing,High,149064.16,Master’s Degree,6,3813,2926,53.62,57.86,USA,39.19
Microbiologist,Manufacturing,Increasing,High,84150.66,Bachelor’s Degree,14,7359,8720,70.25,1.86,USA,60.94
Water engineer,Entertainment,Decreasing,Moderate,39739.66,PhD,13,8944,769,86.06,58.97,USA,51.82
Soil scientist,Manufacturing,Increasing,Moderate,104210.79,High School,5,7740,2951,91.22,23.12,USA,47.05
Catering manager,Retail,Increasing,Moderate,40544.27,Associate Degree,9,9490,5327,14.05,79.98,USA,37.79
Personal assistant,Retail,Decreasing,Low,52623.61,Associate Degree,2,4068,9173,50.46,56.08,USA,65.67
Holiday representative,Education,Increasing,Moderate,106309.36,Master’s Degree,15,2281,3266,29.28,4.93,USA,65.84
Research scientist (maths),Manufacturing,Increasing,Low,118765.75,Associate Degree,1,6482,8100,80.47,71.66,USA,60.73
Special educational needs teacher,Healthcare,Increasing,High,61633,High School,0,5554,5416,15.72,72.85,USA,68.26
"Psychologist, counselling",Transportation,Decreasing,Moderate,116651.86,High School,6,6620,4234,36.97,23.09,USA,67.87
Market researcher,Entertainment,Increasing,Moderate,92990.05,Master’s Degree,8,220,6334,55.55,48.7,USA,44.49
Naval architect,IT,Increasing,High,137197.71,Associate Degree,9,4029,2352,1.78,40.02,USA,78.03
"Geneticist, molecular",IT,Increasing,High,70308.04,High School,14,5175,3270,47.93,92.96,USA,79.89
Media planner,Retail,Increasing,Moderate,38883.93,PhD,12,1238,1437,90.44,70.39,USA,75.9
Land,Manufacturing,Decreasing,Low,130177.51,PhD,6,6978,6277,77.34,59.06,USA,73.52
Camera operator,IT,Increasing,Low,64570,Associate Degree,16,4371,9969,60.91,77.56,USA,63.52
Charity officer,IT,Decreasing,Moderate,35918.19,Associate Degree,0,1823,6238,93.16,91.38,USA,25.52
"Copywriter, advertising",Transportation,Increasing,Low,65416.8,Bachelor’s Degree,16,1808,756,82.08,32.3,USA,56.44
Electronics engineer,Healthcare,Increasing,Low,48182.78,PhD,4,4187,8146,62.36,92.21,USA,28.23
Pensions consultant,Entertainment,Decreasing,High,129880.5,PhD,5,8066,6018,80.8,27.76,USA,36.14
Medical sales representative,Finance,Decreasing,Low,54093.7,Bachelor’s Degree,6,993,3432,75.31,39.96,USA,76.51
Clinical molecular geneticist,IT,Increasing,High,77490.07,PhD,7,9761,5272,39.57,10.65,USA,28.1
Editorial assistant,Retail,Decreasing,Low,129230.41,Bachelor’s Degree,18,1801,4815,44.27,29.94,USA,75.4
Banker,Retail,Decreasing,Moderate,109575.56,Bachelor’s Degree,12,5408,9691,44.13,80.82,USA,77.5
Podiatrist,IT,Decreasing,Low,94242.08,Associate Degree,7,5170,5182,70.98,24.89,USA,27.69
Geochemist,Healthcare,Increasing,Moderate,42834.34,Bachelor’s Degree,7,9883,4226,5.48,8.24,USA,26.57
"Therapist, speech and language",Entertainment,Decreasing,High,140657.21,Associate Degree,1,6981,9852,48.6,63.47,USA,56.35
"Buyer, retail",Education,Decreasing,Low,60103.47,Associate Degree,11,9285,2866,82.27,13.95,USA,26.95
"Loss adjuster, chartered",Education,Increasing,Low,96836.56,Associate Degree,4,2426,9942,71.73,71.05,USA,73.82
"Presenter, broadcasting",IT,Decreasing,Moderate,107090.95,Associate Degree,0,1425,7036,98.91,37.79,USA,33.75
Recycling officer,Finance,Decreasing,High,30027.04,Bachelor’s Degree,2,7693,625,50.55,45.19,USA,26.23
Architectural technologist,Finance,Increasing,Low,82038.45,PhD,5,6366,9835,24.52,37.8,USA,43.73
Armed forces technical officer,Manufacturing,Decreasing,Moderate,95693.37,High School,10,1411,6189,70.25,77.71,USA,25.62
Contracting civil engineer,Retail,Decreasing,High,103431.83,PhD,9,9841,8814,30.81,95.08,USA,45.26
Oceanographer,Healthcare,Decreasing,High,98626.13,Associate Degree,8,8249,7924,67.72,64.12,USA,51.35
Phytotherapist,Transportation,Decreasing,Moderate,137447.98,PhD,7,7963,6285,51.11,84.82,USA,30.43
"Scientist, marine",Finance,Increasing,Low,108988.03,High School,11,8620,3254,24.74,1.45,USA,46.95
"Horticulturist, amenity",Finance,Increasing,High,30017.75,Master’s Degree,6,7591,6821,80.13,11.78,USA,37.64
Translator,Healthcare,Decreasing,High,48061.88,PhD,1,868,4338,97.18,92.83,USA,74.69
"Surveyor, insurance",Finance,Increasing,Low,68234.55,PhD,5,8159,3087,50.47,4.2,USA,48.42
Counselling psychologist,Healthcare,Increasing,Low,104145.8,Bachelor’s Degree,14,8619,6505,63.71,36.64,USA,78.09
"Psychotherapist, dance movement",Manufacturing,Increasing,Moderate,77441.15,Associate Degree,5,8183,806,61.46,90.75,USA,64.11
Actuary,Finance,Decreasing,Moderate,123800.23,Bachelor’s Degree,8,3626,1610,93.77,14.39,USA,73.22
Community development worker,Manufacturing,Decreasing,Low,91768.93,Master’s Degree,12,102,2750,83.98,42.95,USA,37.26
"Engineer, electrical",Healthcare,Decreasing,High,60989.83,PhD,12,1590,1435,41.1,94.48,USA,53.31
Financial adviser,Healthcare,Increasing,Moderate,62442.81,Bachelor’s Degree,5,4005,3943,53.39,21.79,USA,55.87
"Runner, broadcasting/film/video",Healthcare,Increasing,High,143491.21,PhD,19,5783,6530,82.25,51.56,USA,49.66
Writer,IT,Increasing,High,58010.62,Associate Degree,10,4636,9882,9.93,34.13,USA,53.3
Museum/gallery exhibitions officer,Finance,Decreasing,High,94214.09,Associate Degree,1,4609,6407,39.04,44.41,USA,77.28
Broadcast engineer,Finance,Decreasing,Moderate,94193.96,Master’s Degree,13,7218,1471,41.8,43.98,USA,73.44
Emergency planning/management officer,IT,Decreasing,High,62459.04,High School,6,632,9510,60.39,22.53,USA,57.71
Industrial buyer,Retail,Decreasing,Moderate,80071.11,Associate Degree,11,2548,7560,94.8,44.68,USA,40.84
Legal executive,Healthcare,Decreasing,Low,57229.24,Master’s Degree,16,440,6684,1.57,68.62,USA,28.4
Minerals surveyor,IT,Increasing,High,70609.48,Associate Degree,15,3279,9933,41.11,24.5,USA,23.76
Armed forces training and education officer,Manufacturing,Decreasing,High,75967.23,PhD,1,7004,5810,47.95,92.74,USA,66.08
"Scientist, forensic",Education,Decreasing,Moderate,68548.16,Master’s Degree,17,232,9099,58.92,80.78,USA,26.55
"Journalist, broadcasting",Manufacturing,Decreasing,Moderate,114892.48,Bachelor’s Degree,4,2931,5213,92.25,30.7,USA,47.52
Copy,Finance,Decreasing,High,98889.01,PhD,4,5280,6908,13.88,1.27,USA,23.06
Barrister's clerk,Manufacturing,Increasing,High,35169.47,High School,6,124,3609,22.02,71.96,USA,77.04
"Engineer, automotive",Entertainment,Increasing,High,130027.8,Associate Degree,10,1800,2380,76.69,62.46,USA,47.43
Public librarian,Finance,Decreasing,Low,124367.3,High School,5,7335,8429,21.36,56.64,USA,76.71
"Research officer, government",Entertainment,Decreasing,Low,43534.86,PhD,12,791,8696,20.74,90.23,USA,62.92
Software engineer,Transportation,Increasing,Low,80225.23,Master’s Degree,13,6228,4237,4.12,32.56,USA,26.79
Social worker,Transportation,Increasing,High,59213.22,Bachelor’s Degree,7,3610,6617,73.29,25.58,USA,37.25
English as a foreign language teacher,Entertainment,Increasing,High,87622.26,PhD,7,1000,2144,57.63,72.48,USA,36.76
Chartered legal executive (England and Wales),Entertainment,Increasing,Moderate,32769.2,Associate Degree,4,9812,9402,19.33,50.2,USA,73.52
Operational investment banker,IT,Decreasing,Moderate,99307.21,Master’s Degree,3,4174,8595,46.01,14.31,USA,76.15
Armed forces training and education officer,Entertainment,Decreasing,High,137206.15,PhD,19,8846,1198,8.88,73.11,USA,78.95
Horticultural therapist,Healthcare,Increasing,High,139582.87,Bachelor’s Degree,7,6189,6368,14.6,83.16,USA,38.43
"Conservator, furniture",Education,Decreasing,Moderate,120299.96,Associate Degree,3,1079,7949,21.54,17.11,USA,66.49
Warden/ranger,Healthcare,Decreasing,Moderate,34878.17,PhD,7,520,9739,99.94,82.15,USA,52.42
Personal assistant,Education,Increasing,Low,77074.56,PhD,13,8075,6175,68.21,30.69,USA,78.41
Nature conservation officer,Transportation,Increasing,High,114611.34,High School,17,1804,3047,42.29,77.72,USA,59.26
"Scientist, research (maths)",Transportation,Decreasing,Low,101126.81,PhD,15,9972,7338,58.3,31.39,USA,78.48
"Copywriter, advertising",Retail,Increasing,Moderate,149945.86,Bachelor’s Degree,20,5312,7028,75.24,81.57,USA,36.33
Sports administrator,Transportation,Decreasing,Moderate,37394.44,PhD,13,7708,2268,95.87,98.94,USA,79.8
"Designer, exhibition/display",Entertainment,Decreasing,Moderate,146937.68,PhD,14,9712,979,54.72,18,USA,49.54
Biomedical scientist,Finance,Increasing,Moderate,56173.45,Bachelor’s Degree,15,9858,2431,17.36,51.58,USA,62.62
Art therapist,Transportation,Decreasing,Moderate,45677.46,High School,13,2824,5884,11.61,76.62,USA,64.93
Barrister,Retail,Increasing,High,101542.36,High School,14,2792,491,94.38,51.29,USA,24.46
"Accountant, chartered",Manufacturing,Decreasing,High,52276.38,Bachelor’s Degree,10,2073,6792,12.77,96.41,USA,55.7
Agricultural engineer,Finance,Increasing,Low,84487.17,Master’s Degree,18,9634,550,76.7,26.79,USA,61.94
Computer games developer,Retail,Decreasing,High,146265.07,PhD,0,5599,3162,84.85,27.25,USA,75.35
"Surveyor, mining",Healthcare,Increasing,High,149947.04,Associate Degree,8,1324,9730,71.25,5.01,USA,35.04
Press sub,Finance,Increasing,Low,42287.89,Associate Degree,16,6198,4750,34.96,57.08,USA,63.79
Trade union research officer,Retail,Decreasing,Moderate,72533.78,High School,5,9299,9755,56.16,27.78,USA,71.46
IT sales professional,Education,Decreasing,Low,112445.95,Bachelor’s Degree,16,5893,7194,38.53,77.46,USA,25.86
Psychiatric nurse,Education,Decreasing,High,95019.89,Associate Degree,4,5363,458,79.89,46.89,USA,48.18
Graphic designer,IT,Decreasing,High,68697.97,Bachelor’s Degree,2,3976,3066,61.63,11.25,USA,77.56
